ID_SNPs,ecotype
HOC_01ta,foothill
HOC_03ta,foothill
HOC_04ta,foothill
HOC_05ta,foothill
HOC_06ta,foothill
HOC_07ta,foothill
HOC_08ta,foothill
ING_01ta,foothill
ING_02ta,foothill
ING_03ta,foothill
ING_04ta,foothill
ING_05ta,foothill
ING_06ta,foothill
ING_07ta,foothill
ING_08ta,foothill
ING_09ta,foothill
KAS_01ta,foothill
KAS_02ta,foothill
KAS_03ta,foothill
KAS_04ta,foothill
KAS_05ta,foothill
KAS_06ta,foothill
KAS_07ta,foothill
KAS_08ta,foothill
KOS_01ta,foothill
KOS_02ta,foothill
KOS_03ta,foothill
KOS_04ta,foothill
KOS_05ta,foothill
KOS_06ta,foothill
KOS_07ta,foothill
VOR_01ta,foothill
VOR_02ta,foothill
VOR_03ta,foothill
VOR_04ta,foothill
VOR_05ta,foothill
VOR_06ta,foothill
VOR_07ta,foothill
VOR_08ta,foothill
BAB_01da,foothill
BAB_03da,foothill
BAB_04da,foothill
BAB_05da,foothill
BAB_06da,foothill
BAB_08da,foothill
BAB_09da,foothill
BAB_10da,foothill
BAB_11da,foothill
BAB_12da,foothill
BAB_13da,foothill
PHD_01da,foothill
PHD_02da,foothill
PHD_03da,foothill
PHD_04da,foothill
PHD_05da,foothill
PHD_06da,foothill
PHD_07da,foothill
PHD_08da,foothill
SUB_01da,foothill
SUB_02da,foothill
SUB_03da,foothill
SUB_04da,foothill
SUB_05da,foothill
SUB_06da,foothill
SUB_07da,foothill
SUB_08da,foothill
SUB_10da,foothill
SUB_11da,foothill
SUB_12da,foothill
SUB_13da,foothill
SUB_14da,foothill
SUB_15da,foothill
SUB_16da,foothill
SUB_17da,foothill
SUB_18da,foothill
SUB_19da,foothill
HRA_01ta,foothill
HRA_02ta,foothill
HRA_04ta,foothill
HRA_05ta,foothill
HRA_06ta,foothill
HRA_07ta,foothill
HRA_08ta,foothill
HRA_09ta,foothill
HRA_10ta,foothill
HRA_12ta,foothill
HRA_13ta,foothill
KAM_01ta,foothill
KAM_02ta,foothill
KAM_03ta,foothill
KAM_04ta,foothill
KAM_05ta,foothill
KAM_06ta,foothill
KAM_07ta,foothill
KAM_08ta,foothill
KAM_09ta,foothill
SPI_01ta,foothill
SPI_02ta,foothill
SPI_03ta,foothill
SPI_04ta,foothill
SPI_05ta,foothill
SPI_06ta,foothill
SPI_07ta,foothill
SPI_08ta,foothill
SPI_09ta,foothill
SPI_10ta,foothill
SPI_11ta,foothill
SPI_12ta,foothill
SPI_13ta,foothill
PHT_01ta,foothill
PHT_02ta,foothill
PHT_03ta,foothill
PHT_04ta,foothill
PHT_05ta,foothill
PHT_06ta,foothill
PHT_07ta,foothill
PHT_08ta,foothill
CAR_01ta,foothill
CAR_02ta,foothill
CAR_03ta,foothill
CAR_04ta,foothill
CAR_05ta,foothill
CAR_06ta,foothill
CAR_07ta,foothill
CAR_08ta,foothill
PAT_01ta,foothill
PAT_02ta,foothill
PAT_03ta,foothill
PAT_04ta,foothill
PAT_05ta,foothill
PAT_06ta,foothill
PAT_07ta,foothill
BUT_01ta,foothill
BUT_02ta,foothill
BUT_03ta,foothill
BUT_04ta,foothill
BUT_05ta,foothill
BUT_06ta,foothill
BUT_07ta,foothill
BUT_08ta,foothill
DRA_01ta,foothill
DRA_02ta,foothill
DRA_03ta,foothill
DRA_04ta,foothill
DRA_05ta,foothill
DRA_06ta,foothill
DRA_07ta,foothill
DRA_08ta,foothill
TIS_01ta,foothill
TIS_02ta,foothill
TIS_03ta,foothill
TIS_04ta,foothill
TIS_05ta,foothill
TIS_06ta,foothill
TIS_07ta,foothill
TIS_08ta,foothill
SCH_01ta,alpine
SCH_02ta,alpine
SCH_03ta,alpine
SCH_04ta,alpine
SCH_05ta,alpine
SCH_06ta,alpine
SCH_07ta,alpine
WIL_01ta,alpine
WIL_02ta,alpine
WIL_03ta,alpine
WIL_04ta,alpine
WIL_05ta,alpine
WIL_06ta,alpine
WIL_07ta,alpine
WIL_08ta,alpine
VEL_01da,alpine
VEL_02da,alpine
VEL_03da,alpine
VEL_04da,alpine
VEL_05da,alpine
VEL_06da,alpine
VEL_07da,alpine
VEL_08da,alpine
VEL_09da,alpine
VEL_10da,alpine
ZEP_01da,alpine
ZEP_02da,alpine
ZEP_03da,alpine
ZEP_04da,alpine
ZEP_05da,alpine
ZEP_06da,alpine
ZEP_07da,alpine
ZEP_08da,alpine
ZEP_09da,alpine
ZEP_10da,alpine
ZEP_11da,alpine
ZEP_12da,alpine
ZEP_13da,alpine
VSD_01da,alpine
HLI_01da,alpine
HLI_02da,alpine
TKO_01ta,alpine
TKO_02ta,alpine
TKO_03ta,alpine
TKO_04ta,alpine
TKO_05ta,alpine
TKO_06ta,alpine
TKO_07ta,alpine
TKO_08ta,alpine
TRT_01ta,alpine
TRT_02ta,alpine
TRT_03ta,alpine
TRT_05ta,alpine
TRT_06ta,alpine
TRT_07ta,alpine
TRT_08ta,alpine
TRT_09ta,alpine
PVO_01ta,alpine
INE_01ta,alpine
INE_02ta,alpine
INE_03ta,alpine
INE_04ta,alpine
INE_05ta,alpine
INE_06ta,alpine
INE_08ta,alpine
INE_09ta,alpine
BAL_01ta,alpine
BAL_02ta,alpine
BAL_03ta,alpine
BAL_04ta,alpine
BAL_05ta,alpine
BAL_06ta,alpine
BAL_07ta,alpine
BAL_08ta,alpine
BAL_09ta,alpine
LAC_01ta,alpine
LAC_02ta,alpine
LAC_03ta,alpine
LAC_04ta,alpine
LAC_05ta,alpine
LAC_06ta,alpine
LAC_07ta,alpine
LAC_08ta,alpine